draft_year,team,analyst,grade_letter,grade_numeric,source_url
2021,DAL,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,PIT,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,IND,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,IND,Easterling,D,2.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,LAR,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,SEA,Reuter,B,8.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2024,PHI,Maske,B-,7.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,WAS,Farrar,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,WAS,Prisco,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,WAS,Iyer,C-,4.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,ARI,Farrar,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,LAC,Winks,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,LAC,Silva,D+,3.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,LAR,Winks,C,5.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,IND,PFF,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,NYG,Davis,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,MIN,Iyer,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,TB,PFF,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,NO,PFF,A+,12.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,NO,Davis,C,5.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,NO,Silva,C,5.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,CIN,Iyer,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,GB,Farrar,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,SEA,Reuter,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,SEA,Dunleavy,C,5.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,NYJ,PFF,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,MIA,Davis,A,11.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,MIA,Iyer,C,5.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,LVR,Iyer,D,2.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,HOU,Reuter,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,DAL,Reuter,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,DAL,Davis,D,2.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,BUF,Farrar,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,DEN,PFF,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,DEN,Winks,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,DEN,Iyer,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,TEN,Reuter,A-,10.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,TEN,Davis,D,2.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,CAR,Silva,F,0.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,CLE,Winks,B+,9.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,CLE,Davis,D,2.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
2024,ATL,Silva,F,0.0,https://ftnfantasy.com/nfl/2024-nfl-draft-report-card-report
